评论,时间,点赞数,标签
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
这个舞并不简单，自己扒一下就知道了，可能跟之前两首比稍微简单了，但还是在一个高水平的位置,1679413948,77,0
点进来：让我看看有多强 然后：跪着看完了,1679418089,203,0
没人夸lily，看来大家的眼界都被lily扩宽了，lily对于这种高音真的一点压力都没了，像呼吸一样简单。,1679419423,151,0
爻的唱跳实力真的和五代有断层,1679406344,190,0
我说当时jyp标榜的全员ACE真没骗你们 不信你们自己看,1679411033,262,0
我去 真的，每一次在惊叹爻的实力时 爻总能在下一次给我更大的惊喜 继之前的芝加哥拼盘演唱会这次又是张着嘴看完的,1679409029,232,0
吗的虽然已经是粉了 但还是想说搞韩也有几年了第一次看到实力这么这么这么强的女团 在我心中是第一 每个人真的都做的很好 不管以后公司给什么歌我都永远溺爱 爻妹的live实力已经足够强大,1679410387,375,0
建议改名为：五代女团这种练习室也值得吹？特种兵女团NMIXX翻车练习室！！真的很希望这样的实力的女团被更多人看见,1679468703,96,0
woc这个实力，爻妹放在整个Kpop历史上实力都是排的上号的我觉得[tv_点赞],1679404544,454,0
这下不用消音了，直接无垫音生唱，感觉要路转粉了，这次歌和cody都很好呀,1679404480,324,0
爻走的路线真就是和很多人理解的爱豆完全相反。爱豆似乎是活在虚假的滤镜下的生物，而她们就是偏要关掉这层滤镜。,1679425386,130,0
你可以说爻的歌不好 但你绝对没资格嘲爻,1679462666,66,0
跟健身操似的的舞蹈真的有人觉得简单吗,1679405116,364,0
不用怀疑，官方说的Stage practice就是生唱练习室,1679404089,740,0
这是我见过最牛逼的生唱 这个生唱质量五代从来没听过  我只能说牛逼 总有瓶女在无限接近一百分 前无古人，后可能有来者，依我看后来者依然会在瓶家诞生,1679500611,39,0
路人点进来都不知道怎么夸…我从视频开始到结束嘴都没合上过…,1679413359,152,0
老是审判粉丝捂嘴 你说看到这样的实力粉丝怎么不溺爱 我溺爱极了,1679411977,299,0
受不了了忙内唱歌听一次被冲击一次，明明她是大主舞啊，，什么都做的很好太牛逼，，,1679410176,185,0
bae这次回归找回出道前cover的气场了，狠嚎……很亮眼……她真的适合一些酷酷的或者性感的风格……高音的尾音处理也超好听，有太多要夸的点😭,1679412229,136,0
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
这个舞并不简单，自己扒一下就知道了，可能跟之前两首比稍微简单了，但还是在一个高水平的位置,1679413948,77,0
点进来：让我看看有多强 然后：跪着看完了,1679418089,203,0
没人夸lily，看来大家的眼界都被lily扩宽了，lily对于这种高音真的一点压力都没了，像呼吸一样简单。,1679419423,151,0
爻的唱跳实力真的和五代有断层,1679406344,190,0
我说当时jyp标榜的全员ACE真没骗你们 不信你们自己看,1679411033,262,0
我去 真的，每一次在惊叹爻的实力时 爻总能在下一次给我更大的惊喜 继之前的芝加哥拼盘演唱会这次又是张着嘴看完的,1679409029,232,0
吗的虽然已经是粉了 但还是想说搞韩也有几年了第一次看到实力这么这么这么强的女团 在我心中是第一 每个人真的都做的很好 不管以后公司给什么歌我都永远溺爱 爻妹的live实力已经足够强大,1679410387,375,0
建议改名为：五代女团这种练习室也值得吹？特种兵女团NMIXX翻车练习室！！真的很希望这样的实力的女团被更多人看见,1679468703,96,0
woc这个实力，爻妹放在整个Kpop历史上实力都是排的上号的我觉得[tv_点赞],1679404544,454,0
这下不用消音了，直接无垫音生唱，感觉要路转粉了，这次歌和cody都很好呀,1679404480,324,0
爻走的路线真就是和很多人理解的爱豆完全相反。爱豆似乎是活在虚假的滤镜下的生物，而她们就是偏要关掉这层滤镜。,1679425386,130,0
你可以说爻的歌不好 但你绝对没资格嘲爻,1679462666,66,0
跟健身操似的的舞蹈真的有人觉得简单吗,1679405116,364,0
不用怀疑，官方说的Stage practice就是生唱练习室,1679404089,740,0
这是我见过最牛逼的生唱 这个生唱质量五代从来没听过  我只能说牛逼 总有瓶女在无限接近一百分 前无古人，后可能有来者，依我看后来者依然会在瓶家诞生,1679500611,39,0
路人点进来都不知道怎么夸…我从视频开始到结束嘴都没合上过…,1679413359,152,0
老是审判粉丝捂嘴 你说看到这样的实力粉丝怎么不溺爱 我溺爱极了,1679411977,299,0
受不了了忙内唱歌听一次被冲击一次，明明她是大主舞啊，，什么都做的很好太牛逼，，,1679410176,185,0
bae这次回归找回出道前cover的气场了，狠嚎……很亮眼……她真的适合一些酷酷的或者性感的风格……高音的尾音处理也超好听，有太多要夸的点😭,1679412229,136,0
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
这个舞并不简单，自己扒一下就知道了，可能跟之前两首比稍微简单了，但还是在一个高水平的位置,1679413948,77,0
点进来：让我看看有多强 然后：跪着看完了,1679418089,203,0
没人夸lily，看来大家的眼界都被lily扩宽了，lily对于这种高音真的一点压力都没了，像呼吸一样简单。,1679419423,151,0
爻的唱跳实力真的和五代有断层,1679406344,190,0
我说当时jyp标榜的全员ACE真没骗你们 不信你们自己看,1679411033,262,0
我去 真的，每一次在惊叹爻的实力时 爻总能在下一次给我更大的惊喜 继之前的芝加哥拼盘演唱会这次又是张着嘴看完的,1679409029,232,0
吗的虽然已经是粉了 但还是想说搞韩也有几年了第一次看到实力这么这么这么强的女团 在我心中是第一 每个人真的都做的很好 不管以后公司给什么歌我都永远溺爱 爻妹的live实力已经足够强大,1679410387,375,0
建议改名为：五代女团这种练习室也值得吹？特种兵女团NMIXX翻车练习室！！真的很希望这样的实力的女团被更多人看见,1679468703,96,0
woc这个实力，爻妹放在整个Kpop历史上实力都是排的上号的我觉得[tv_点赞],1679404544,454,0
这下不用消音了，直接无垫音生唱，感觉要路转粉了，这次歌和cody都很好呀,1679404480,324,0
爻走的路线真就是和很多人理解的爱豆完全相反。爱豆似乎是活在虚假的滤镜下的生物，而她们就是偏要关掉这层滤镜。,1679425386,130,0
你可以说爻的歌不好 但你绝对没资格嘲爻,1679462666,66,0
跟健身操似的的舞蹈真的有人觉得简单吗,1679405116,364,0
不用怀疑，官方说的Stage practice就是生唱练习室,1679404089,740,0
这是我见过最牛逼的生唱 这个生唱质量五代从来没听过  我只能说牛逼 总有瓶女在无限接近一百分 前无古人，后可能有来者，依我看后来者依然会在瓶家诞生,1679500611,39,0
路人点进来都不知道怎么夸…我从视频开始到结束嘴都没合上过…,1679413359,152,0
老是审判粉丝捂嘴 你说看到这样的实力粉丝怎么不溺爱 我溺爱极了,1679411977,299,0
受不了了忙内唱歌听一次被冲击一次，明明她是大主舞啊，，什么都做的很好太牛逼，，,1679410176,185,0
bae这次回归找回出道前cover的气场了，狠嚎……很亮眼……她真的适合一些酷酷的或者性感的风格……高音的尾音处理也超好听，有太多要夸的点😭,1679412229,136,0
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
这个舞并不简单，自己扒一下就知道了，可能跟之前两首比稍微简单了，但还是在一个高水平的位置,1679413948,77,0
点进来：让我看看有多强 然后：跪着看完了,1679418089,203,0
没人夸lily，看来大家的眼界都被lily扩宽了，lily对于这种高音真的一点压力都没了，像呼吸一样简单。,1679419423,151,0
爻的唱跳实力真的和五代有断层,1679406344,190,0
我说当时jyp标榜的全员ACE真没骗你们 不信你们自己看,1679411033,262,0
我去 真的，每一次在惊叹爻的实力时 爻总能在下一次给我更大的惊喜 继之前的芝加哥拼盘演唱会这次又是张着嘴看完的,1679409029,232,0
吗的虽然已经是粉了 但还是想说搞韩也有几年了第一次看到实力这么这么这么强的女团 在我心中是第一 每个人真的都做的很好 不管以后公司给什么歌我都永远溺爱 爻妹的live实力已经足够强大,1679410387,375,0
建议改名为：五代女团这种练习室也值得吹？特种兵女团NMIXX翻车练习室！！真的很希望这样的实力的女团被更多人看见,1679468703,96,0
woc这个实力，爻妹放在整个Kpop历史上实力都是排的上号的我觉得[tv_点赞],1679404544,454,0
这下不用消音了，直接无垫音生唱，感觉要路转粉了，这次歌和cody都很好呀,1679404480,324,0
爻走的路线真就是和很多人理解的爱豆完全相反。爱豆似乎是活在虚假的滤镜下的生物，而她们就是偏要关掉这层滤镜。,1679425386,130,0
你可以说爻的歌不好 但你绝对没资格嘲爻,1679462666,66,0
跟健身操似的的舞蹈真的有人觉得简单吗,1679405116,364,0
不用怀疑，官方说的Stage practice就是生唱练习室,1679404089,740,0
这是我见过最牛逼的生唱 这个生唱质量五代从来没听过  我只能说牛逼 总有瓶女在无限接近一百分 前无古人，后可能有来者，依我看后来者依然会在瓶家诞生,1679500611,39,0
路人点进来都不知道怎么夸…我从视频开始到结束嘴都没合上过…,1679413359,152,0
老是审判粉丝捂嘴 你说看到这样的实力粉丝怎么不溺爱 我溺爱极了,1679411977,299,0
受不了了忙内唱歌听一次被冲击一次，明明她是大主舞啊，，什么都做的很好太牛逼，，,1679410176,185,0
bae这次回归找回出道前cover的气场了，狠嚎……很亮眼……她真的适合一些酷酷的或者性感的风格……高音的尾音处理也超好听，有太多要夸的点😭,1679412229,136,0
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
这个舞并不简单，自己扒一下就知道了，可能跟之前两首比稍微简单了，但还是在一个高水平的位置,1679413948,77,0
点进来：让我看看有多强 然后：跪着看完了,1679418089,203,0
没人夸lily，看来大家的眼界都被lily扩宽了，lily对于这种高音真的一点压力都没了，像呼吸一样简单。,1679419423,151,0
爻的唱跳实力真的和五代有断层,1679406344,190,0
我说当时jyp标榜的全员ACE真没骗你们 不信你们自己看,1679411033,262,0
我去 真的，每一次在惊叹爻的实力时 爻总能在下一次给我更大的惊喜 继之前的芝加哥拼盘演唱会这次又是张着嘴看完的,1679409029,232,0
吗的虽然已经是粉了 但还是想说搞韩也有几年了第一次看到实力这么这么这么强的女团 在我心中是第一 每个人真的都做的很好 不管以后公司给什么歌我都永远溺爱 爻妹的live实力已经足够强大,1679410387,375,0
建议改名为：五代女团这种练习室也值得吹？特种兵女团NMIXX翻车练习室！！真的很希望这样的实力的女团被更多人看见,1679468703,96,0
woc这个实力，爻妹放在整个Kpop历史上实力都是排的上号的我觉得[tv_点赞],1679404544,454,0
这下不用消音了，直接无垫音生唱，感觉要路转粉了，这次歌和cody都很好呀,1679404480,324,0
爻走的路线真就是和很多人理解的爱豆完全相反。爱豆似乎是活在虚假的滤镜下的生物，而她们就是偏要关掉这层滤镜。,1679425386,130,0
你可以说爻的歌不好 但你绝对没资格嘲爻,1679462666,66,0
跟健身操似的的舞蹈真的有人觉得简单吗,1679405116,364,0
不用怀疑，官方说的Stage practice就是生唱练习室,1679404089,740,0
这是我见过最牛逼的生唱 这个生唱质量五代从来没听过  我只能说牛逼 总有瓶女在无限接近一百分 前无古人，后可能有来者，依我看后来者依然会在瓶家诞生,1679500611,39,0
路人点进来都不知道怎么夸…我从视频开始到结束嘴都没合上过…,1679413359,152,0
老是审判粉丝捂嘴 你说看到这样的实力粉丝怎么不溺爱 我溺爱极了,1679411977,299,0
受不了了忙内唱歌听一次被冲击一次，明明她是大主舞啊，，什么都做的很好太牛逼，，,1679410176,185,0
bae这次回归找回出道前cover的气场了，狠嚎……很亮眼……她真的适合一些酷酷的或者性感的风格……高音的尾音处理也超好听，有太多要夸的点😭,1679412229,136,0
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
这个舞并不简单，自己扒一下就知道了，可能跟之前两首比稍微简单了，但还是在一个高水平的位置,1679413948,77,0
点进来：让我看看有多强 然后：跪着看完了,1679418089,203,0
没人夸lily，看来大家的眼界都被lily扩宽了，lily对于这种高音真的一点压力都没了，像呼吸一样简单。,1679419423,151,0
爻的唱跳实力真的和五代有断层,1679406344,190,0
我说当时jyp标榜的全员ACE真没骗你们 不信你们自己看,1679411033,262,0
我去 真的，每一次在惊叹爻的实力时 爻总能在下一次给我更大的惊喜 继之前的芝加哥拼盘演唱会这次又是张着嘴看完的,1679409029,232,0
吗的虽然已经是粉了 但还是想说搞韩也有几年了第一次看到实力这么这么这么强的女团 在我心中是第一 每个人真的都做的很好 不管以后公司给什么歌我都永远溺爱 爻妹的live实力已经足够强大,1679410387,375,0
建议改名为：五代女团这种练习室也值得吹？特种兵女团NMIXX翻车练习室！！真的很希望这样的实力的女团被更多人看见,1679468703,96,0
woc这个实力，爻妹放在整个Kpop历史上实力都是排的上号的我觉得[tv_点赞],1679404544,454,0
这下不用消音了，直接无垫音生唱，感觉要路转粉了，这次歌和cody都很好呀,1679404480,324,0
爻走的路线真就是和很多人理解的爱豆完全相反。爱豆似乎是活在虚假的滤镜下的生物，而她们就是偏要关掉这层滤镜。,1679425386,130,0
你可以说爻的歌不好 但你绝对没资格嘲爻,1679462666,66,0
跟健身操似的的舞蹈真的有人觉得简单吗,1679405116,364,0
不用怀疑，官方说的Stage practice就是生唱练习室,1679404089,740,0
这是我见过最牛逼的生唱 这个生唱质量五代从来没听过  我只能说牛逼 总有瓶女在无限接近一百分 前无古人，后可能有来者，依我看后来者依然会在瓶家诞生,1679500611,39,0
路人点进来都不知道怎么夸…我从视频开始到结束嘴都没合上过…,1679413359,152,0
老是审判粉丝捂嘴 你说看到这样的实力粉丝怎么不溺爱 我溺爱极了,1679411977,299,0
受不了了忙内唱歌听一次被冲击一次，明明她是大主舞啊，，什么都做的很好太牛逼，，,1679410176,185,0
bae这次回归找回出道前cover的气场了，狠嚎……很亮眼……她真的适合一些酷酷的或者性感的风格……高音的尾音处理也超好听，有太多要夸的点😭,1679412229,136,0
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
这个舞并不简单，自己扒一下就知道了，可能跟之前两首比稍微简单了，但还是在一个高水平的位置,1679413948,77,0
点进来：让我看看有多强 然后：跪着看完了,1679418089,203,0
没人夸lily，看来大家的眼界都被lily扩宽了，lily对于这种高音真的一点压力都没了，像呼吸一样简单。,1679419423,151,0
爻的唱跳实力真的和五代有断层,1679406344,190,0
我说当时jyp标榜的全员ACE真没骗你们 不信你们自己看,1679411033,262,0
我去 真的，每一次在惊叹爻的实力时 爻总能在下一次给我更大的惊喜 继之前的芝加哥拼盘演唱会这次又是张着嘴看完的,1679409029,232,0
吗的虽然已经是粉了 但还是想说搞韩也有几年了第一次看到实力这么这么这么强的女团 在我心中是第一 每个人真的都做的很好 不管以后公司给什么歌我都永远溺爱 爻妹的live实力已经足够强大,1679410387,375,0
建议改名为：五代女团这种练习室也值得吹？特种兵女团NMIXX翻车练习室！！真的很希望这样的实力的女团被更多人看见,1679468703,96,0
woc这个实力，爻妹放在整个Kpop历史上实力都是排的上号的我觉得[tv_点赞],1679404544,454,0
这下不用消音了，直接无垫音生唱，感觉要路转粉了，这次歌和cody都很好呀,1679404480,324,0
爻走的路线真就是和很多人理解的爱豆完全相反。爱豆似乎是活在虚假的滤镜下的生物，而她们就是偏要关掉这层滤镜。,1679425386,130,0
你可以说爻的歌不好 但你绝对没资格嘲爻,1679462666,66,0
跟健身操似的的舞蹈真的有人觉得简单吗,1679405116,364,0
不用怀疑，官方说的Stage practice就是生唱练习室,1679404089,740,0
这是我见过最牛逼的生唱 这个生唱质量五代从来没听过  我只能说牛逼 总有瓶女在无限接近一百分 前无古人，后可能有来者，依我看后来者依然会在瓶家诞生,1679500611,39,0
路人点进来都不知道怎么夸…我从视频开始到结束嘴都没合上过…,1679413359,152,0
老是审判粉丝捂嘴 你说看到这样的实力粉丝怎么不溺爱 我溺爱极了,1679411977,299,0
受不了了忙内唱歌听一次被冲击一次，明明她是大主舞啊，，什么都做的很好太牛逼，，,1679410176,185,0
bae这次回归找回出道前cover的气场了，狠嚎……很亮眼……她真的适合一些酷酷的或者性感的风格……高音的尾音处理也超好听，有太多要夸的点😭,1679412229,136,0
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
这个舞并不简单，自己扒一下就知道了，可能跟之前两首比稍微简单了，但还是在一个高水平的位置,1679413948,77,0
点进来：让我看看有多强 然后：跪着看完了,1679418089,203,0
没人夸lily，看来大家的眼界都被lily扩宽了，lily对于这种高音真的一点压力都没了，像呼吸一样简单。,1679419423,151,0
爻的唱跳实力真的和五代有断层,1679406344,190,0
我说当时jyp标榜的全员ACE真没骗你们 不信你们自己看,1679411033,262,0
我去 真的，每一次在惊叹爻的实力时 爻总能在下一次给我更大的惊喜 继之前的芝加哥拼盘演唱会这次又是张着嘴看完的,1679409029,232,0
吗的虽然已经是粉了 但还是想说搞韩也有几年了第一次看到实力这么这么这么强的女团 在我心中是第一 每个人真的都做的很好 不管以后公司给什么歌我都永远溺爱 爻妹的live实力已经足够强大,1679410387,375,0
建议改名为：五代女团这种练习室也值得吹？特种兵女团NMIXX翻车练习室！！真的很希望这样的实力的女团被更多人看见,1679468703,96,0
woc这个实力，爻妹放在整个Kpop历史上实力都是排的上号的我觉得[tv_点赞],1679404544,454,0
这下不用消音了，直接无垫音生唱，感觉要路转粉了，这次歌和cody都很好呀,1679404480,324,0
爻走的路线真就是和很多人理解的爱豆完全相反。爱豆似乎是活在虚假的滤镜下的生物，而她们就是偏要关掉这层滤镜。,1679425386,130,0
你可以说爻的歌不好 但你绝对没资格嘲爻,1679462666,66,0
跟健身操似的的舞蹈真的有人觉得简单吗,1679405116,364,0
不用怀疑，官方说的Stage practice就是生唱练习室,1679404089,740,0
这是我见过最牛逼的生唱 这个生唱质量五代从来没听过  我只能说牛逼 总有瓶女在无限接近一百分 前无古人，后可能有来者，依我看后来者依然会在瓶家诞生,1679500611,39,0
路人点进来都不知道怎么夸…我从视频开始到结束嘴都没合上过…,1679413359,152,0
老是审判粉丝捂嘴 你说看到这样的实力粉丝怎么不溺爱 我溺爱极了,1679411977,299,0
受不了了忙内唱歌听一次被冲击一次，明明她是大主舞啊，，什么都做的很好太牛逼，，,1679410176,185,0
bae这次回归找回出道前cover的气场了，狠嚎……很亮眼……她真的适合一些酷酷的或者性感的风格……高音的尾音处理也超好听，有太多要夸的点😭,1679412229,136,0
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
这个舞并不简单，自己扒一下就知道了，可能跟之前两首比稍微简单了，但还是在一个高水平的位置,1679413948,77,0
点进来：让我看看有多强 然后：跪着看完了,1679418089,203,0
没人夸lily，看来大家的眼界都被lily扩宽了，lily对于这种高音真的一点压力都没了，像呼吸一样简单。,1679419423,151,0
爻的唱跳实力真的和五代有断层,1679406344,190,0
我说当时jyp标榜的全员ACE真没骗你们 不信你们自己看,1679411033,262,0
我去 真的，每一次在惊叹爻的实力时 爻总能在下一次给我更大的惊喜 继之前的芝加哥拼盘演唱会这次又是张着嘴看完的,1679409029,232,0
吗的虽然已经是粉了 但还是想说搞韩也有几年了第一次看到实力这么这么这么强的女团 在我心中是第一 每个人真的都做的很好 不管以后公司给什么歌我都永远溺爱 爻妹的live实力已经足够强大,1679410387,375,0
建议改名为：五代女团这种练习室也值得吹？特种兵女团NMIXX翻车练习室！！真的很希望这样的实力的女团被更多人看见,1679468703,96,0
woc这个实力，爻妹放在整个Kpop历史上实力都是排的上号的我觉得[tv_点赞],1679404544,454,0
这下不用消音了，直接无垫音生唱，感觉要路转粉了，这次歌和cody都很好呀,1679404480,324,0
爻走的路线真就是和很多人理解的爱豆完全相反。爱豆似乎是活在虚假的滤镜下的生物，而她们就是偏要关掉这层滤镜。,1679425386,130,0
你可以说爻的歌不好 但你绝对没资格嘲爻,1679462666,66,0
跟健身操似的的舞蹈真的有人觉得简单吗,1679405116,364,0
不用怀疑，官方说的Stage practice就是生唱练习室,1679404089,740,0
这是我见过最牛逼的生唱 这个生唱质量五代从来没听过  我只能说牛逼 总有瓶女在无限接近一百分 前无古人，后可能有来者，依我看后来者依然会在瓶家诞生,1679500611,39,0
路人点进来都不知道怎么夸…我从视频开始到结束嘴都没合上过…,1679413359,152,0
老是审判粉丝捂嘴 你说看到这样的实力粉丝怎么不溺爱 我溺爱极了,1679411977,299,0
受不了了忙内唱歌听一次被冲击一次，明明她是大主舞啊，，什么都做的很好太牛逼，，,1679410176,185,0
bae这次回归找回出道前cover的气场了，狠嚎……很亮眼……她真的适合一些酷酷的或者性感的风格……高音的尾音处理也超好听，有太多要夸的点😭,1679412229,136,0
先叠甲，这是我个人观点。毫不夸张地说，我觉得这版真的比音源好听太多了[星星眼]。这个视频里小女孩的实力得到了完美的展现，魅力加成极大，其次念经部分因为人声更大盖过了一些，特别是允的几次合声和背景音，真的有点画龙点睛的味道，念经部分反而起到了很好的一个衬托作用。今天循环了一天这个视频，也算是有点理解看到的评论“录音室指导要背锅”是啥意思了。六个小女孩给我美美地冲，顺便问一句友友们有这个视频的音频可以分享一下吗[脱单doge],1679481022,35,0
